日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-05-12,药明康德,603259,400.0,40730.0,110.33,44132.0,3402.0,0.0835,https://gu.qq.com/sh603259/gp,ok,110.33 (tencent-api:sh603259)
2026-05-12,恒生科技ETF大成,159740,62200.0,40265.0,0.638,39683.6,-581.4,-0.0144,https://gu.qq.com/sz159740,ok,0.638 (tencent-api:sz159740)
2026-05-12,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.976,46457.6,6449.6,0.1612,https://gu.qq.com/sz159131,ok,0.976 (tencent-api:sz159131)
2026-05-12,A500ETF易方达,159361,10000.0,12060.0,1.349,13490.0,1430.0,0.1186,https://gu.qq.com/sz159361,ok,1.349 (tencent-api:sz159361)
2026-05-12,汇添富中证主要消费ETF,159928,40000.0,29880.0,0.725,29000.0,-880.0,-0.0295,https://gu.qq.com/sz159928,ok,0.725 (tencent-api:sz159928)
2026-05-12,黄金ETF,518880,1000.0,10005.0,9.806,9806.0,-199.0,-0.0199,https://gu.qq.com/sh518880,ok,9.806 (tencent-api:sh518880)
2026-05-12,信澳新能源产业股票,001410,13959.13,45888.0,6.876,95982.97788,50094.97788,1.0917,https://gu.qq.com/jj001410,ok,6.876 (tencent-api:jj001410)
2026-05-12,兴全合宜混合,163417,30676.56,40400.0,2.2696,69623.520576,29223.520576,0.7234,https://gu.qq.com/sz163417,ok,2.2696 (tencent-api:jj163417)
2026-05-12,易方达亚洲精选股票,118001,29124.5,33380.0,1.729,50356.2605,16976.2605,0.5086,https://gu.qq.com/jj118001,ok,1.729 (tencent-api:jj118001)
2026-05-12,工银前沿医疗股票,001717,20298.5,61634.0,3.091,62742.6635,1108.6635,0.018,https://gu.qq.com/jj001717,ok,3.091 (tencent-api:jj001717)
2026-05-12,易方达蓝筹精选混合,005827,29782.0,54385.0,1.6911,50364.3402,-4020.6598,-0.0739,https://gu.qq.com/jj005827,ok,1.6911 (tencent-api:jj005827)
2026-05-12,cash_total,CASH,1,29505.0,1,29505.0,0,0,,ok,cash_accounts=2
2026-05-12,__TOTAL__,,,430000.0,,541143.962656,111143.962656,0.2585,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=29505.0; cost_total=430000.0; daily_net_flow=0.0; cashflow_count=2; success=11; error=0
