日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-06-01,药明康德,603259,400.0,40096.0,99.99,39996.0,-100.0,-0.0025,https://gu.qq.com/sh603259/gp,ok,99.99 (tencent-api:sh603259)
2026-06-01,恒生科技ETF大成,159740,62200.0,40265.0,0.621,38626.2,-1638.8,-0.0407,https://gu.qq.com/sz159740,ok,0.621 (tencent-api:sz159740)
2026-06-01,港股通信息技术ETF华宝,159131,27600.0,18272.0,1.089,30056.4,11784.4,0.6449,https://gu.qq.com/sz159131,ok,1.089 (tencent-api:sz159131)
2026-06-01,A500ETF易方达,159361,10000.0,12060.0,1.304,13040.0,980.0,0.0813,https://gu.qq.com/sz159361,ok,1.304 (tencent-api:sz159361)
2026-06-01,汇添富中证主要消费ETF,159928,68000.0,49408.0,0.691,46988.0,-2420.0,-0.049,https://gu.qq.com/sz159928,ok,0.691 (tencent-api:sz159928)
2026-06-01,黄金ETF,518880,3100.0,29504.0,9.344,28966.4,-537.6,-0.0182,https://gu.qq.com/sh518880,ok,9.344 (tencent-api:sh518880)
2026-06-01,信澳新能源产业股票,001410,13959.13,45888.0,7.047,98369.98911,52481.98911,1.1437,https://gu.qq.com/jj001410,ok,7.047 (tencent-api:jj001410)
2026-06-01,兴全合宜混合,163417,30676.56,40400.0,2.1722,66635.623632,26235.623632,0.6494,https://gu.qq.com/sz163417,ok,2.1722 (tencent-api:jj163417)
2026-06-01,易方达亚洲精选股票,118001,29124.5,33380.0,1.7,49511.65,16131.65,0.4833,https://gu.qq.com/jj118001,ok,1.7 (tencent-api:jj118001)
2026-06-01,工银前沿医疗股票,001717,20298.5,61634.0,2.842,57688.337,-3945.663,-0.064,https://gu.qq.com/jj001717,ok,2.842 (tencent-api:jj001717)
2026-06-01,易方达蓝筹精选混合,005827,29782.0,54385.0,1.6003,47660.1346,-6724.8654,-0.1237,https://gu.qq.com/jj005827,ok,1.6003 (tencent-api:jj005827)
2026-06-01,cash_total,CASH,1,22865.0,1,22865.0,0,0,,ok,cash_accounts=2
2026-06-01,__TOTAL__,,,440000.0,,540403.734342,100403.734342,0.2282,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=22865.0; cost_total=440000.0; daily_net_flow=0.0; cashflow_count=3; success=11; error=0
