日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-06-24,药明康德,603259,600.0,58886.0,115.4,69240.0,10354.0,0.1758,https://gu.qq.com/sh603259/gp,ok,115.4 (tencent-api:sh603259)
2026-06-24,恒生科技ETF大成,159740,62200.0,40265.0,0.563,35018.6,-5246.4,-0.1303,https://gu.qq.com/sz159740,ok,0.563 (tencent-api:sz159740)
2026-06-24,A500ETF易方达,159361,10000.0,12060.0,1.352,13520.0,1460.0,0.1211,https://gu.qq.com/sz159361,ok,1.352 (tencent-api:sz159361)
2026-06-24,汇添富中证主要消费ETF,159928,100000.0,70054.0,0.608,60800.0,-9254.0,-0.1321,https://gu.qq.com/sz159928,ok,0.608 (tencent-api:sz159928)
2026-06-24,黄金ETF,518880,5500.0,50662.0,8.515,46832.5,-3829.5,-0.0756,https://gu.qq.com/sh518880,ok,8.515 (tencent-api:sh518880)
2026-06-24,信澳新能源产业股票,001410,13959.13,45888.0,8.762,122309.89706,76421.89706,1.6654,https://gu.qq.com/jj001410,ok,8.762 (tencent-api:jj001410)
2026-06-24,兴全合宜混合,163417,30676.56,40400.0,2.2769,69847.459464,29447.459464,0.7289,https://gu.qq.com/sz163417,ok,2.2769 (tencent-api:jj163417)
2026-06-24,易方达亚洲精选股票,118001,29124.5,33380.0,1.679,48900.0355,15520.0355,0.465,https://gu.qq.com/jj118001,ok,1.679 (tencent-api:jj118001)
2026-06-24,工银前沿医疗股票,001717,20298.5,61634.0,2.933,59535.5005,-2098.4995,-0.034,https://gu.qq.com/jj001717,ok,2.933 (tencent-api:jj001717)
2026-06-24,易方达蓝筹精选混合,005827,29782.0,54385.0,1.5093,44949.9726,-9435.0274,-0.1735,https://gu.qq.com/jj005827,ok,1.5093 (tencent-api:jj005827)
2026-06-24,cash_total,CASH,1,627.0,1,627.0,0,0,,ok,cash_accounts=2
2026-06-24,__TOTAL__,,,450000.0,,571580.965124,121580.965124,0.2702,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=627.0; cost_total=450000.0; daily_net_flow=0.0; cashflow_count=4; success=10; error=0
