日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-05-29,药明康德,603259,400.0,40096.0,101.6,40640.0,544.0,0.0136,https://gu.qq.com/sh603259/gp,ok,101.6 (tencent-api:sh603259)
2026-05-29,恒生科技ETF大成,159740,62200.0,40265.0,0.614,38190.8,-2074.2,-0.0515,https://gu.qq.com/sz159740,ok,0.614 (tencent-api:sz159740)
2026-05-29,港股通信息技术ETF华宝,159131,27600.0,18272.0,1.088,30028.8,11756.8,0.6434,https://gu.qq.com/sz159131,ok,1.088 (tencent-api:sz159131)
2026-05-29,A500ETF易方达,159361,10000.0,12060.0,1.323,13230.0,1170.0,0.097,https://gu.qq.com/sz159361,ok,1.323 (tencent-api:sz159361)
2026-05-29,汇添富中证主要消费ETF,159928,68000.0,49408.0,0.689,46852.0,-2556.0,-0.0517,https://gu.qq.com/sz159928,ok,0.689 (tencent-api:sz159928)
2026-05-29,黄金ETF,518880,3100.0,29504.0,9.397,29130.7,-373.3,-0.0127,https://gu.qq.com/sh518880,ok,9.397 (tencent-api:sh518880)
2026-05-29,信澳新能源产业股票,001410,13959.13,45888.0,7.253,101245.56989,55357.56989,1.2064,https://gu.qq.com/jj001410,ok,7.253 (tencent-api:jj001410)
2026-05-29,兴全合宜混合,163417,30676.56,40400.0,2.1944,67316.643264,26916.643264,0.6663,https://gu.qq.com/sz163417,ok,2.1944 (tencent-api:jj163417)
2026-05-29,易方达亚洲精选股票,118001,29124.5,33380.0,1.686,49103.907,15723.907,0.4711,https://gu.qq.com/jj118001,ok,1.686 (tencent-api:jj118001)
2026-05-29,工银前沿医疗股票,001717,20298.5,61634.0,2.908,59028.038,-2605.962,-0.0423,https://gu.qq.com/jj001717,ok,2.908 (tencent-api:jj001717)
2026-05-29,易方达蓝筹精选混合,005827,29782.0,54385.0,1.601,47680.982,-6704.018,-0.1233,https://gu.qq.com/jj005827,ok,1.601 (tencent-api:jj005827)
2026-05-29,cash_total,CASH,1,22865.0,1,22865.0,0,0,,ok,cash_accounts=2
2026-05-29,__TOTAL__,,,440000.0,,545312.440154,105312.440154,0.2393,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=22865.0; cost_total=440000.0; daily_net_flow=0.0; cashflow_count=3; success=11; error=0
