日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,产品类型编码,产品类型,大类资产编码,大类资产,行业编码,行业,抓取状态,抓取备注
2026-04-15,药明康德,603259,300.0,29972.0,106.83,32049.0,2077.0,0.0693,https://gu.qq.com/sh603259/gp,1,股票,1,A股,2,医药,ok,106.83 (tencent-api:sh603259)
2026-04-15,恒生科技ETF大成,159740,62200.0,40265.0,0.62,38564.0,-1701.0,-0.0422,https://gu.qq.com/sz159740,2,场内ETF,2,港股,3,科技,ok,0.62 (tencent-api:sz159740)
2026-04-15,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.836,39793.6,-214.4,-0.0054,https://gu.qq.com/sz159131,2,场内ETF,2,港股,3,科技,ok,0.836 (tencent-api:sz159131)
2026-04-15,A500ETF易方达,159361,10000.0,12060.0,1.258,12580.0,520.0,0.0431,https://gu.qq.com/sz159361,2,场内ETF,1,A股,1,宽基指数,ok,1.258 (tencent-api:sz159361)
2026-04-15,汇添富中证主要消费ETF,159928,40000.0,29880.0,0.752,30080.0,200.0,0.0067,https://gu.qq.com/sz159928,2,场内ETF,1,A股,4,消费,ok,0.752 (tencent-api:sz159928)
2026-04-15,信澳新能源产业股票,001410,13959.13,45888.0,5.7,79567.041,33679.041,0.7339,https://gu.qq.com/jj001410,3,主动基金,1,A股,3,科技,ok,5.7 (tencent-api:jj001410)
2026-04-15,兴全合宜混合,163417,30676.56,40400.0,2.0803,63816.447768,23416.447768,0.5796,https://gu.qq.com/jj163417,3,主动基金,2,港股,3,科技,ok,2.0803 (tencent-api:jj163417)
2026-04-15,易方达亚洲精选股票,118001,21947.58,21000.0,1.555,34128.4869,13128.4869,0.6252,https://gu.qq.com/jj118001,3,主动基金,2,港股,3,科技,ok,1.555 (tencent-api:jj118001)
2026-04-15,工银前沿医疗股票,001717,17089.31,51634.0,3.289,56206.74059,4572.74059,0.0886,https://gu.qq.com/jj001717,3,主动基金,1,A股,2,医药,ok,3.289 (tencent-api:jj001717)
2026-04-15,易方达蓝筹精选混合,005827,23991.59,44400.0,1.7647,42337.958873,-2062.041127,-0.0464,https://gu.qq.com/jj005827,3,主动基金,2,港股,4,消费,ok,1.7647 (tencent-api:jj005827)
2026-04-15,东方财富,300059,1000.0,20010.0,19.85,19850.0,-160.0,-0.008,https://gu.qq.com/sz300059/gp,1,股票,1,A股,,,ok,19.85 (tencent-api:sz300059)
2026-04-15,黄金ETF,518880,1000.0,10005.0,10.064,10064.0,59.0,0.0059,https://gu.qq.com/sh518880,2,场内ETF,6,黄金,,,ok,10.064 (tencent-api:sh518880)
2026-04-15,cash_total,CASH,1,52086.27,1,52086.27,0,0,,,现金,9,现金,,,ok,cash_accounts=2
2026-04-15,__TOTAL__,,,430000.0,,511123.545131,81123.545131,0.1887,,,,,,,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=52086.27; cost_total=430000.0; cashflow_count=2; success=12; error=0
