日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-07-01,药明康德,603259,600.0,58886.0,125.2,75120.0,16234.0,0.2757,https://gu.qq.com/sh603259/gp,ok,125.2 (tencent-api:sh603259)
2026-07-01,恒生科技ETF大成,159740,88000.0,54463.0,0.559,49192.0,-5271.0,-0.0968,https://gu.qq.com/sz159740,ok,0.559 (tencent-api:sz159740)
2026-07-01,汇添富中证主要消费ETF,159928,100000.0,70054.0,0.63,63000.0,-7054.0,-0.1007,https://gu.qq.com/sz159928,ok,0.63 (tencent-api:sz159928)
2026-07-01,黄金ETF,518880,5500.0,50662.0,8.271,45490.5,-5171.5,-0.1021,https://gu.qq.com/sh518880,ok,8.271 (tencent-api:sh518880)
2026-07-01,信澳新能源产业股票,001410,13959.13,45888.0,9.334,130294.51942,84406.51942,1.8394,https://gu.qq.com/jj001410,ok,9.334 (tencent-api:jj001410)
2026-07-01,兴全合宜混合,163417,30676.56,40400.0,2.3176,71095.995456,30695.995456,0.7598,https://gu.qq.com/sz163417,ok,2.3176 (tencent-api:jj163417)
2026-07-01,易方达亚洲精选股票,118001,29124.5,33380.0,1.727,50298.0115,16918.0115,0.5068,https://gu.qq.com/jj118001,ok,1.727 (tencent-api:jj118001)
2026-07-01,工银前沿医疗股票,001717,20298.5,61634.0,3.314,67269.229,5635.229,0.0914,https://gu.qq.com/jj001717,ok,3.314 (tencent-api:jj001717)
2026-07-01,易方达蓝筹精选混合,005827,29782.0,54385.0,1.5217,45319.2694,-9065.7306,-0.1667,https://gu.qq.com/jj005827,ok,1.5217 (tencent-api:jj005827)
2026-07-01,cash_total,CASH,1,21.0,1,21.0,0,0,,ok,cash_accounts=2
2026-07-01,__TOTAL__,,,450000.0,,597100.524776,147100.524776,0.3269,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=21.0; cost_total=450000.0; daily_net_flow=0.0; cashflow_count=4; success=9; error=0
