日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,产品类型编码,产品类型,大类资产编码,大类资产,行业编码,行业,抓取状态,抓取备注
2026-04-16,药明康德,603259,300.0,29972.0,105.66,31698.0,1726.0,0.0576,https://gu.qq.com/sh603259/gp,1,股票,1,A股,2,医药,ok,105.66 (tencent-api:sh603259)
2026-04-16,恒生科技ETF大成,159740,62200.0,40265.0,0.641,39870.2,-394.8,-0.0098,https://gu.qq.com/sz159740,2,场内ETF,2,港股,3,科技,ok,0.641 (tencent-api:sz159740)
2026-04-16,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.865,41174.0,1166.0,0.0291,https://gu.qq.com/sz159131,2,场内ETF,2,港股,3,科技,ok,0.865 (tencent-api:sz159131)
2026-04-16,A500ETF易方达,159361,10000.0,12060.0,1.274,12740.0,680.0,0.0564,https://gu.qq.com/sz159361,2,场内ETF,1,A股,1,宽基指数,ok,1.274 (tencent-api:sz159361)
2026-04-16,汇添富中证主要消费ETF,159928,40000.0,29880.0,0.753,30120.0,240.0,0.008,https://gu.qq.com/sz159928,2,场内ETF,1,A股,4,消费,ok,0.753 (tencent-api:sz159928)
2026-04-16,信澳新能源产业股票,001410,13959.13,45888.0,5.791,80837.32183,34949.32183,0.7616,https://gu.qq.com/jj001410,3,主动基金,1,A股,3,科技,ok,5.791 (tencent-api:jj001410)
2026-04-16,兴全合宜混合,163417,30676.56,40400.0,2.1141,64853.315496,24453.315496,0.6053,https://gu.qq.com/jj163417,3,主动基金,2,港股,3,科技,ok,2.1141 (tencent-api:jj163417)
2026-04-16,易方达亚洲精选股票,118001,21947.58,21000.0,1.564,34326.01512,13326.01512,0.6346,https://gu.qq.com/jj118001,3,主动基金,2,港股,3,科技,ok,1.564 (tencent-api:jj118001)
2026-04-16,工银前沿医疗股票,001717,17089.31,51634.0,3.259,55694.06129,4060.06129,0.0786,https://gu.qq.com/jj001717,3,主动基金,1,A股,2,医药,ok,3.259 (tencent-api:jj001717)
2026-04-16,易方达蓝筹精选混合,005827,23991.59,44400.0,1.7904,42954.542736,-1445.457264,-0.0326,https://gu.qq.com/jj005827,3,主动基金,2,港股,4,消费,ok,1.7904 (tencent-api:jj005827)
2026-04-16,东方财富,300059,1000.0,20010.0,20.06,20060.0,50.0,0.0025,https://gu.qq.com/sz300059/gp,1,股票,1,A股,,,ok,20.06 (tencent-api:sz300059)
2026-04-16,黄金ETF,518880,1000.0,10005.0,10.097,10097.0,92.0,0.0092,https://gu.qq.com/sh518880,2,场内ETF,6,黄金,,,ok,10.097 (tencent-api:sh518880)
2026-04-16,cash_total,CASH,1,52086.27,1,52086.27,0,0,,,现金,9,现金,,,ok,cash_accounts=2
2026-04-16,__TOTAL__,,,430000.0,,516510.726472,86510.726472,0.2012,,,,,,,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=52086.27; cost_total=430000.0; cashflow_count=2; success=12; error=0
