日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-05-13,药明康德,603259,400.0,40730.0,108.92,43568.0,2838.0,0.0697,https://gu.qq.com/sh603259/gp,ok,108.92 (tencent-api:sh603259)
2026-05-13,恒生科技ETF大成,159740,62200.0,40265.0,0.64,39808.0,-457.0,-0.0113,https://gu.qq.com/sz159740,ok,0.64 (tencent-api:sz159740)
2026-05-13,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.986,46933.6,6925.6,0.1731,https://gu.qq.com/sz159131,ok,0.986 (tencent-api:sz159131)
2026-05-13,A500ETF易方达,159361,10000.0,12060.0,1.363,13630.0,1570.0,0.1302,https://gu.qq.com/sz159361,ok,1.363 (tencent-api:sz159361)
2026-05-13,汇添富中证主要消费ETF,159928,40000.0,29880.0,0.719,28760.0,-1120.0,-0.0375,https://gu.qq.com/sz159928,ok,0.719 (tencent-api:sz159928)
2026-05-13,黄金ETF,518880,1000.0,10005.0,9.804,9804.0,-201.0,-0.0201,https://gu.qq.com/sh518880,ok,9.804 (tencent-api:sh518880)
2026-05-13,信澳新能源产业股票,001410,13959.13,45888.0,7.079,98816.68127,52928.68127,1.1534,https://gu.qq.com/jj001410,ok,7.079 (tencent-api:jj001410)
2026-05-13,兴全合宜混合,163417,30676.56,40400.0,2.2855,70111.27788,29711.27788,0.7354,https://gu.qq.com/sz163417,ok,2.2855 (tencent-api:jj163417)
2026-05-13,易方达亚洲精选股票,118001,29124.5,33380.0,1.729,50356.2605,16976.2605,0.5086,https://gu.qq.com/jj118001,ok,1.729 (tencent-api:jj118001)
2026-05-13,工银前沿医疗股票,001717,20298.5,61634.0,3.049,61890.1265,256.1265,0.0042,https://gu.qq.com/jj001717,ok,3.049 (tencent-api:jj001717)
2026-05-13,易方达蓝筹精选混合,005827,29782.0,54385.0,1.6911,50364.3402,-4020.6598,-0.0739,https://gu.qq.com/jj005827,ok,1.6911 (tencent-api:jj005827)
2026-05-13,cash_total,CASH,1,29505.0,1,29505.0,0,0,,ok,cash_accounts=2
2026-05-13,__TOTAL__,,,430000.0,,543547.28635,113547.28635,0.2641,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=29505.0; cost_total=430000.0; daily_net_flow=0.0; cashflow_count=2; success=11; error=0
