日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,产品类型编码,产品类型,大类资产编码,大类资产,行业编码,行业,抓取状态,抓取备注
2026-04-14,药明康德,603259,300.0,29972.0,106.55,31965.0,1993.0,0.0665,https://gu.qq.com/sh603259/gp,1,股票,1,A股,2,医药,ok,106.55 (tencent-api:sh603259)
2026-04-14,恒生科技ETF大成,159740,62200.0,40265.0,0.612,38066.4,-2198.6,-0.0546,https://gu.qq.com/sz159740,2,场内ETF,2,港股,3,科技,ok,0.612 (tencent-api:sz159740)
2026-04-14,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.837,39841.2,-166.8,-0.0042,https://gu.qq.com/sz159131,2,场内ETF,2,港股,3,科技,ok,0.837 (tencent-api:sz159131)
2026-04-14,A500ETF易方达,159361,10000.0,12060.0,1.263,12630.0,570.0,0.0473,https://gu.qq.com/sz159361,2,场内ETF,1,A股,1,宽基指数,ok,1.263 (tencent-api:sz159361)
2026-04-14,汇添富中证主要消费ETF,159928,40000.0,29880.0,0.751,30040.0,160.0,0.0054,https://gu.qq.com/sz159928,2,场内ETF,1,A股,4,消费,ok,0.751 (tencent-api:sz159928)
2026-04-14,信澳新能源产业股票,001410,13959.13,45888.0,5.751,80278.95663,34390.95663,0.7495,https://gu.qq.com/jj001410,3,主动基金,1,A股,3,科技,ok,5.751 (tencent-api:jj001410)
2026-04-14,兴全合宜混合,163417,30676.56,40400.0,2.0776,63733.621056,23333.621056,0.5776,https://gu.qq.com/jj163417,3,主动基金,2,港股,3,科技,ok,2.0776 (tencent-api:jj163417)
2026-04-14,易方达亚洲精选股票,118001,21947.58,21000.0,1.524,33448.11192,12448.11192,0.5928,https://gu.qq.com/jj118001,3,主动基金,2,港股,3,科技,ok,1.524 (tencent-api:jj118001)
2026-04-14,工银前沿医疗股票,001717,17089.31,51634.0,3.191,54531.98821,2897.98821,0.0561,https://gu.qq.com/jj001717,3,主动基金,1,A股,2,医药,ok,3.191 (tencent-api:jj001717)
2026-04-14,易方达蓝筹精选混合,005827,23991.59,44400.0,1.7539,42078.849701,-2321.150299,-0.0523,https://gu.qq.com/jj005827,3,主动基金,2,港股,4,消费,ok,1.7539 (tencent-api:jj005827)
2026-04-14,东方财富,300059,1000.0,20010.0,20.15,20150.0,140.0,0.007,https://gu.qq.com/sz300059/gp,1,股票,1,A股,,,ok,20.15 (tencent-api:sz300059)
2026-04-14,黄金ETF,518880,1000.0,10005.0,10.011,10011.0,6.0,0.0006,https://gu.qq.com/sh518880,2,场内ETF,6,黄金,,,ok,10.011 (tencent-api:sh518880)
2026-04-14,cash_total,CASH,1,42086.27,1,42086.27,0,0,,,现金,9,现金,,,ok,cash_accounts=2
2026-04-14,__TOTAL__,,,420000.0,,498861.397517,78861.397517,0.1878,,,,,,,,summary,holdings_encoding=gb18030; cash_encoding=gb18030; cashflows_encoding=gb18030; cash_total=42086.27; cost_total=420000.0; cashflow_count=1; success=12; error=0
