日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-05-28,药明康德,603259,400.0,40730.0,100.8,40320.0,-410.0,-0.0101,https://gu.qq.com/sh603259/gp,ok,100.8 (tencent-api:sh603259)
2026-05-28,恒生科技ETF大成,159740,62200.0,40265.0,0.611,38004.2,-2260.8,-0.0561,https://gu.qq.com/sz159740,ok,0.611 (tencent-api:sz159740)
2026-05-28,港股通信息技术ETF华宝,159131,47600.0,40008.0,1.076,51217.6,11209.6,0.2802,https://gu.qq.com/sz159131,ok,1.076 (tencent-api:sz159131)
2026-05-28,A500ETF易方达,159361,10000.0,12060.0,1.33,13300.0,1240.0,0.1028,https://gu.qq.com/sz159361,ok,1.33 (tencent-api:sz159361)
2026-05-28,汇添富中证主要消费ETF,159928,68000.0,49408.0,0.67,45560.0,-3848.0,-0.0779,https://gu.qq.com/sz159928,ok,0.67 (tencent-api:sz159928)
2026-05-28,黄金ETF,518880,3100.0,29504.0,9.132,28309.2,-1194.8,-0.0405,https://gu.qq.com/sh518880,ok,9.132 (tencent-api:sh518880)
2026-05-28,信澳新能源产业股票,001410,13959.13,45888.0,7.55,105391.4315,59503.4315,1.2967,https://gu.qq.com/jj001410,ok,7.55 (tencent-api:jj001410)
2026-05-28,兴全合宜混合,163417,30676.56,40400.0,2.2183,68049.813048,27649.813048,0.6844,https://gu.qq.com/sz163417,ok,2.2183 (tencent-api:jj163417)
2026-05-28,易方达亚洲精选股票,118001,29124.5,33380.0,1.691,49249.5295,15869.5295,0.4754,https://gu.qq.com/jj118001,ok,1.691 (tencent-api:jj118001)
2026-05-28,工银前沿医疗股票,001717,20298.5,61634.0,2.847,57789.8295,-3844.1705,-0.0624,https://gu.qq.com/jj001717,ok,2.847 (tencent-api:jj001717)
2026-05-28,易方达蓝筹精选混合,005827,29782.0,54385.0,1.5813,47094.2766,-7290.7234,-0.1341,https://gu.qq.com/jj005827,ok,1.5813 (tencent-api:jj005827)
2026-05-28,cash_total,CASH,1,499.0,1,499.0,0,0,,ok,cash_accounts=2
2026-05-28,__TOTAL__,,,440000.0,,544784.880148,104784.880148,0.2381,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=499.0; cost_total=440000.0; daily_net_flow=0.0; cashflow_count=3; success=11; error=0
