日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-05-14,药明康德,603259,400.0,40730.0,103.01,41204.0,474.0,0.0116,https://gu.qq.com/sh603259/gp,ok,103.01 (tencent-api:sh603259)
2026-05-14,恒生科技ETF大成,159740,62200.0,40265.0,0.639,39745.8,-519.2,-0.0129,https://gu.qq.com/sz159740,ok,0.639 (tencent-api:sz159740)
2026-05-14,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.976,46457.6,6449.6,0.1612,https://gu.qq.com/sz159131,ok,0.976 (tencent-api:sz159131)
2026-05-14,A500ETF易方达,159361,10000.0,12060.0,1.339,13390.0,1330.0,0.1103,https://gu.qq.com/sz159361,ok,1.339 (tencent-api:sz159361)
2026-05-14,汇添富中证主要消费ETF,159928,40000.0,29880.0,0.72,28800.0,-1080.0,-0.0361,https://gu.qq.com/sz159928,ok,0.72 (tencent-api:sz159928)
2026-05-14,黄金ETF,518880,1000.0,10005.0,9.795,9795.0,-210.0,-0.021,https://gu.qq.com/sh518880,ok,9.795 (tencent-api:sh518880)
2026-05-14,信澳新能源产业股票,001410,13959.13,45888.0,6.974,97350.97262,51462.97262,1.1215,https://gu.qq.com/jj001410,ok,6.974 (tencent-api:jj001410)
2026-05-14,兴全合宜混合,163417,30676.56,40400.0,2.2683,69583.641048,29183.641048,0.7224,https://gu.qq.com/sz163417,ok,2.2683 (tencent-api:jj163417)
2026-05-14,易方达亚洲精选股票,118001,29124.5,33380.0,1.739,50647.5055,17267.5055,0.5173,https://gu.qq.com/jj118001,ok,1.739 (tencent-api:jj118001)
2026-05-14,工银前沿医疗股票,001717,20298.5,61634.0,2.956,60002.366,-1631.634,-0.0265,https://gu.qq.com/jj001717,ok,2.956 (tencent-api:jj001717)
2026-05-14,易方达蓝筹精选混合,005827,29782.0,54385.0,1.6824,50105.2368,-4279.7632,-0.0787,https://gu.qq.com/jj005827,ok,1.6824 (tencent-api:jj005827)
2026-05-14,cash_total,CASH,1,29505.0,1,29505.0,0,0,,ok,cash_accounts=2
2026-05-14,__TOTAL__,,,430000.0,,536587.121968,106587.121968,0.2479,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=29505.0; cost_total=430000.0; daily_net_flow=0.0; cashflow_count=2; success=11; error=0
