日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,产品类型编码,产品类型,大类资产编码,大类资产,行业编码,行业,抓取状态,抓取备注
2026-04-22,药明康德,603259,300.0,29972.0,99.25,29775.0,-197.0,-0.0066,https://gu.qq.com/sh603259/gp,1,股票,1,A股,2,医药,ok,99.25 (tencent-api:sh603259)
2026-04-22,恒生科技ETF大成,159740,62200.0,40265.0,0.628,39061.6,-1203.4,-0.0299,https://gu.qq.com/sz159740,2,场内ETF,2,港股,3,科技,ok,0.628 (tencent-api:sz159740)
2026-04-22,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.883,42030.8,2022.8,0.0506,https://gu.qq.com/sz159131,2,场内ETF,2,港股,3,科技,ok,0.883 (tencent-api:sz159131)
2026-04-22,A500ETF易方达,159361,10000.0,12060.0,1.295,12950.0,890.0,0.0738,https://gu.qq.com/sz159361,2,场内ETF,1,A股,1,宽基指数,ok,1.295 (tencent-api:sz159361)
2026-04-22,汇添富中证主要消费ETF,159928,40000.0,29880.0,0.737,29480.0,-400.0,-0.0134,https://gu.qq.com/sz159928,2,场内ETF,1,A股,4,消费,ok,0.737 (tencent-api:sz159928)
2026-04-22,信澳新能源产业股票,001410,13959.13,45888.0,6.071,84745.87823,38857.87823,0.8468,https://gu.qq.com/jj001410,3,主动基金,1,A股,3,科技,ok,6.071 (tencent-api:jj001410)
2026-04-22,兴全合宜混合,163417,30676.56,40400.0,2.1165,64926.93924,24526.93924,0.6071,https://gu.qq.com/jj163417,3,主动基金,2,港股,3,科技,ok,2.1165 (tencent-api:jj163417)
2026-04-22,易方达亚洲精选股票,118001,21947.58,21000.0,1.607,35269.76106,14269.76106,0.6795,https://gu.qq.com/jj118001,3,主动基金,2,港股,3,科技,ok,1.607 (tencent-api:jj118001)
2026-04-22,工银前沿医疗股票,001717,17089.31,51634.0,3.153,53882.59443,2248.59443,0.0435,https://gu.qq.com/jj001717,3,主动基金,1,A股,2,医药,ok,3.153 (tencent-api:jj001717)
2026-04-22,易方达蓝筹精选混合,005827,23991.59,44400.0,1.7502,41990.080818,-2409.919182,-0.0543,https://gu.qq.com/jj005827,3,主动基金,2,港股,4,消费,ok,1.7502 (tencent-api:jj005827)
2026-04-22,东方财富,300059,1000.0,20010.0,20.18,20180.0,170.0,0.0085,https://gu.qq.com/sz300059/gp,1,股票,1,A股,,,ok,20.18 (tencent-api:sz300059)
2026-04-22,黄金ETF,518880,1000.0,10005.0,10.004,10004.0,-1.0,-0.0001,https://gu.qq.com/sh518880,2,场内ETF,6,黄金,,,ok,10.004 (tencent-api:sh518880)
2026-04-22,cash_total,CASH,1,52086.27,1,52086.27,0,0,,,现金,9,现金,,,ok,cash_accounts=2
2026-04-22,__TOTAL__,,,430000.0,,516382.923778,86382.923778,0.2009,,,,,,,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=52086.27; cost_total=430000.0; daily_net_flow=0.0; cashflow_count=2; success=12; error=0
