日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-05-20,药明康德,603259,400.0,40730.0,103.1,41240.0,510.0,0.0125,https://gu.qq.com/sh603259/gp,ok,103.1 (tencent-api:sh603259)
2026-05-20,恒生科技ETF大成,159740,62200.0,40265.0,0.613,38128.6,-2136.4,-0.0531,https://gu.qq.com/sz159740,ok,0.613 (tencent-api:sz159740)
2026-05-20,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.962,45791.2,5783.2,0.1446,https://gu.qq.com/sz159131,ok,0.962 (tencent-api:sz159131)
2026-05-20,A500ETF易方达,159361,10000.0,12060.0,1.324,13240.0,1180.0,0.0978,https://gu.qq.com/sz159361,ok,1.324 (tencent-api:sz159361)
2026-05-20,汇添富中证主要消费ETF,159928,53000.0,39173.0,0.699,37047.0,-2126.0,-0.0543,https://gu.qq.com/sz159928,ok,0.699 (tencent-api:sz159928)
2026-05-20,黄金ETF,518880,2000.0,19455.0,9.367,18734.0,-721.0,-0.0371,https://gu.qq.com/sh518880,ok,9.367 (tencent-api:sh518880)
2026-05-20,信澳新能源产业股票,001410,13959.13,45888.0,7.329,102306.46377,56418.46377,1.2295,https://gu.qq.com/jj001410,ok,7.329 (tencent-api:jj001410)
2026-05-20,兴全合宜混合,163417,30676.56,40400.0,2.2253,68264.548968,27864.548968,0.6897,https://gu.qq.com/sz163417,ok,2.2253 (tencent-api:jj163417)
2026-05-20,易方达亚洲精选股票,118001,29124.5,33380.0,1.661,48375.7945,14995.7945,0.4492,https://gu.qq.com/jj118001,ok,1.661 (tencent-api:jj118001)
2026-05-20,工银前沿医疗股票,001717,20298.5,61634.0,2.91,59068.635,-2565.365,-0.0416,https://gu.qq.com/jj001717,ok,2.91 (tencent-api:jj001717)
2026-05-20,易方达蓝筹精选混合,005827,29782.0,54385.0,1.6484,49092.6488,-5292.3512,-0.0973,https://gu.qq.com/jj005827,ok,1.6484 (tencent-api:jj005827)
2026-05-20,cash_total,CASH,1,20781.0,1,20781.0,0,0,,ok,cash_accounts=2
2026-05-20,__TOTAL__,,,440000.0,,542069.891038,102069.891038,0.232,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=20781.0; cost_total=440000.0; daily_net_flow=0.0; cashflow_count=3; success=11; error=0
