日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-05-21,药明康德,603259,400.0,40730.0,104.23,41692.0,962.0,0.0236,https://gu.qq.com/sh603259/gp,ok,104.23 (tencent-api:sh603259)
2026-05-21,恒生科技ETF大成,159740,62200.0,40265.0,0.601,37382.2,-2882.8,-0.0716,https://gu.qq.com/sz159740,ok,0.601 (tencent-api:sz159740)
2026-05-21,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.946,45029.6,5021.6,0.1255,https://gu.qq.com/sz159131,ok,0.946 (tencent-api:sz159131)
2026-05-21,A500ETF易方达,159361,10000.0,12060.0,1.305,13050.0,990.0,0.0821,https://gu.qq.com/sz159361,ok,1.305 (tencent-api:sz159361)
2026-05-21,汇添富中证主要消费ETF,159928,53000.0,39173.0,0.69,36570.0,-2603.0,-0.0664,https://gu.qq.com/sz159928,ok,0.69 (tencent-api:sz159928)
2026-05-21,黄金ETF,518880,2000.0,19455.0,9.45,18900.0,-555.0,-0.0285,https://gu.qq.com/sh518880,ok,9.45 (tencent-api:sh518880)
2026-05-21,信澳新能源产业股票,001410,13959.13,45888.0,6.992,97602.23696,51714.23696,1.127,https://gu.qq.com/jj001410,ok,6.992 (tencent-api:jj001410)
2026-05-21,兴全合宜混合,163417,30676.56,40400.0,2.171,66598.81176,26198.81176,0.6485,https://gu.qq.com/sz163417,ok,2.171 (tencent-api:jj163417)
2026-05-21,易方达亚洲精选股票,118001,29124.5,33380.0,1.673,48725.2885,15345.2885,0.4597,https://gu.qq.com/jj118001,ok,1.673 (tencent-api:jj118001)
2026-05-21,工银前沿医疗股票,001717,20298.5,61634.0,2.936,59596.396,-2037.604,-0.0331,https://gu.qq.com/jj001717,ok,2.936 (tencent-api:jj001717)
2026-05-21,易方达蓝筹精选混合,005827,29782.0,54385.0,1.6293,48523.8126,-5861.1874,-0.1078,https://gu.qq.com/jj005827,ok,1.6293 (tencent-api:jj005827)
2026-05-21,cash_total,CASH,1,20781.0,1,20781.0,0,0,,ok,cash_accounts=2
2026-05-21,__TOTAL__,,,440000.0,,534451.34582,94451.34582,0.2147,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=20781.0; cost_total=440000.0; daily_net_flow=0.0; cashflow_count=3; success=11; error=0
