日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-06-17,药明康德,603259,600.0,58886.0,98.2,58920.0,34.0,0.0006,https://gu.qq.com/sh603259/gp,ok,98.2 (tencent-api:sh603259)
2026-06-17,恒生科技ETF大成,159740,62200.0,40265.0,0.582,36200.4,-4064.6,-0.1009,https://gu.qq.com/sz159740,ok,0.582 (tencent-api:sz159740)
2026-06-17,A500ETF易方达,159361,10000.0,12060.0,1.338,13380.0,1320.0,0.1095,https://gu.qq.com/sz159361,ok,1.338 (tencent-api:sz159361)
2026-06-17,汇添富中证主要消费ETF,159928,83000.0,59405.0,0.635,52705.0,-6700.0,-0.1128,https://gu.qq.com/sz159928,ok,0.635 (tencent-api:sz159928)
2026-06-17,黄金ETF,518880,5500.0,50662.0,8.957,49263.5,-1398.5,-0.0276,https://gu.qq.com/sh518880,ok,8.957 (tencent-api:sh518880)
2026-06-17,信澳新能源产业股票,001410,13959.13,45888.0,8.354,116614.57202,70726.57202,1.5413,https://gu.qq.com/jj001410,ok,8.354 (tencent-api:jj001410)
2026-06-17,兴全合宜混合,163417,30676.56,40400.0,2.1799,66871.833144,26471.833144,0.6552,https://gu.qq.com/sz163417,ok,2.1799 (tencent-api:jj163417)
2026-06-17,易方达亚洲精选股票,118001,29124.5,33380.0,1.721,50123.2645,16743.2645,0.5016,https://gu.qq.com/jj118001,ok,1.721 (tencent-api:jj118001)
2026-06-17,工银前沿医疗股票,001717,20298.5,61634.0,2.707,54948.0395,-6685.9605,-0.1085,https://gu.qq.com/jj001717,ok,2.707 (tencent-api:jj001717)
2026-06-17,易方达蓝筹精选混合,005827,29782.0,54385.0,1.535,45715.37,-8669.63,-0.1594,https://gu.qq.com/jj005827,ok,1.535 (tencent-api:jj005827)
2026-06-17,cash_total,CASH,1,11274.0,1,11274.0,0,0,,ok,cash_accounts=2
2026-06-17,__TOTAL__,,,450000.0,,556015.979164,106015.979164,0.2356,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=11274.0; cost_total=450000.0; daily_net_flow=0.0; cashflow_count=4; success=10; error=0
