日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-06-30,药明康德,603259,600.0,58886.0,124.51,74706.0,15820.0,0.2687,https://gu.qq.com/sh603259/gp,ok,124.51 (tencent-api:sh603259)
2026-06-30,恒生科技ETF大成,159740,88000.0,54463.0,0.56,49280.0,-5183.0,-0.0952,https://gu.qq.com/sz159740,ok,0.56 (tencent-api:sz159740)
2026-06-30,汇添富中证主要消费ETF,159928,100000.0,70054.0,0.615,61500.0,-8554.0,-0.1221,https://gu.qq.com/sz159928,ok,0.615 (tencent-api:sz159928)
2026-06-30,黄金ETF,518880,5500.0,50662.0,8.378,46079.0,-4583.0,-0.0905,https://gu.qq.com/sh518880,ok,8.378 (tencent-api:sh518880)
2026-06-30,信澳新能源产业股票,001410,13959.13,45888.0,9.439,131760.22807,85872.22807,1.8713,https://gu.qq.com/jj001410,ok,9.439 (tencent-api:jj001410)
2026-06-30,兴全合宜混合,163417,30676.56,40400.0,2.3365,71675.78244,31275.78244,0.7742,https://gu.qq.com/sz163417,ok,2.3365 (tencent-api:jj163417)
2026-06-30,易方达亚洲精选股票,118001,29124.5,33380.0,1.707,49715.5215,16335.5215,0.4894,https://gu.qq.com/jj118001,ok,1.707 (tencent-api:jj118001)
2026-06-30,工银前沿医疗股票,001717,20298.5,61634.0,3.137,63676.3945,2042.3945,0.0331,https://gu.qq.com/jj001717,ok,3.137 (tencent-api:jj001717)
2026-06-30,易方达蓝筹精选混合,005827,29782.0,54385.0,1.5273,45486.0486,-8898.9514,-0.1636,https://gu.qq.com/jj005827,ok,1.5273 (tencent-api:jj005827)
2026-06-30,cash_total,CASH,1,21.0,1,21.0,0,0,,ok,cash_accounts=2
2026-06-30,__TOTAL__,,,450000.0,,593899.97511,143899.97511,0.3198,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=21.0; cost_total=450000.0; daily_net_flow=0.0; cashflow_count=4; success=9; error=0
