日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-06-22,药明康德,603259,600.0,58886.0,106.83,64098.0,5212.0,0.0885,https://gu.qq.com/sh603259/gp,ok,106.83 (tencent-api:sh603259)
2026-06-22,恒生科技ETF大成,159740,62200.0,40265.0,0.574,35702.8,-4562.2,-0.1133,https://gu.qq.com/sz159740,ok,0.574 (tencent-api:sz159740)
2026-06-22,A500ETF易方达,159361,10000.0,12060.0,1.38,13800.0,1740.0,0.1443,https://gu.qq.com/sz159361,ok,1.38 (tencent-api:sz159361)
2026-06-22,汇添富中证主要消费ETF,159928,100000.0,70054.0,0.627,62700.0,-7354.0,-0.105,https://gu.qq.com/sz159928,ok,0.627 (tencent-api:sz159928)
2026-06-22,黄金ETF,518880,5500.0,50662.0,8.716,47938.0,-2724.0,-0.0538,https://gu.qq.com/sh518880,ok,8.716 (tencent-api:sh518880)
2026-06-22,信澳新能源产业股票,001410,13959.13,45888.0,8.678,121137.33014,75249.33014,1.6398,https://gu.qq.com/jj001410,ok,8.678 (tencent-api:jj001410)
2026-06-22,兴全合宜混合,163417,30676.56,40400.0,2.229,68378.05224,27978.05224,0.6925,https://gu.qq.com/sz163417,ok,2.229 (tencent-api:jj163417)
2026-06-22,易方达亚洲精选股票,118001,29124.5,33380.0,1.762,51317.369,17937.369,0.5374,https://gu.qq.com/jj118001,ok,1.762 (tencent-api:jj118001)
2026-06-22,工银前沿医疗股票,001717,20298.5,61634.0,2.799,56815.5015,-4818.4985,-0.0782,https://gu.qq.com/jj001717,ok,2.799 (tencent-api:jj001717)
2026-06-22,易方达蓝筹精选混合,005827,29782.0,54385.0,1.5258,45441.3756,-8943.6244,-0.1645,https://gu.qq.com/jj005827,ok,1.5258 (tencent-api:jj005827)
2026-06-22,cash_total,CASH,1,627.0,1,627.0,0,0,,ok,cash_accounts=2
2026-06-22,__TOTAL__,,,450000.0,,567955.42848,117955.42848,0.2621,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=627.0; cost_total=450000.0; daily_net_flow=0.0; cashflow_count=4; success=10; error=0
