日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-06-10,药明康德,603259,600.0,58886.0,97.04,58224.0,-662.0,-0.0112,https://gu.qq.com/sh603259/gp,ok,97.04 (tencent-api:sh603259)
2026-06-10,恒生科技ETF大成,159740,62200.0,40265.0,0.59,36698.0,-3567.0,-0.0886,https://gu.qq.com/sz159740,ok,0.59 (tencent-api:sz159740)
2026-06-10,A500ETF易方达,159361,10000.0,12060.0,1.279,12790.0,730.0,0.0605,https://gu.qq.com/sz159361,ok,1.279 (tencent-api:sz159361)
2026-06-10,汇添富中证主要消费ETF,159928,83000.0,59405.0,0.65,53950.0,-5455.0,-0.0918,https://gu.qq.com/sz159928,ok,0.65 (tencent-api:sz159928)
2026-06-10,黄金ETF,518880,4200.0,39327.0,8.736,36691.2,-2635.8,-0.067,https://gu.qq.com/sh518880,ok,8.736 (tencent-api:sh518880)
2026-06-10,信澳新能源产业股票,001410,13959.13,45888.0,7.313,102083.11769,56195.11769,1.2246,https://gu.qq.com/jj001410,ok,7.313 (tencent-api:jj001410)
2026-06-10,兴全合宜混合,163417,30676.56,40400.0,2.0689,63466.734984,23066.734984,0.571,https://gu.qq.com/sz163417,ok,2.0689 (tencent-api:jj163417)
2026-06-10,易方达亚洲精选股票,118001,29124.5,33380.0,1.7,49511.65,16131.65,0.4833,https://gu.qq.com/jj118001,ok,1.7 (tencent-api:jj118001)
2026-06-10,工银前沿医疗股票,001717,20298.5,61634.0,2.714,55090.129,-6543.871,-0.1062,https://gu.qq.com/jj001717,ok,2.714 (tencent-api:jj001717)
2026-06-10,易方达蓝筹精选混合,005827,29782.0,54385.0,1.5558,46334.8356,-8050.1644,-0.148,https://gu.qq.com/jj005827,ok,1.5558 (tencent-api:jj005827)
2026-06-10,cash_total,CASH,1,12607.0,1,12607.0,0,0,,ok,cash_accounts=2
2026-06-10,__TOTAL__,,,440000.0,,527446.667274,87446.667274,0.1987,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=12607.0; cost_total=440000.0; daily_net_flow=0.0; cashflow_count=3; success=10; error=0
