日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-05-18,药明康德,603259,400.0,40730.0,102.05,40820.0,90.0,0.0022,https://gu.qq.com/sh603259/gp,ok,102.05 (tencent-api:sh603259)
2026-05-18,恒生科技ETF大成,159740,62200.0,40265.0,0.61,37942.0,-2323.0,-0.0577,https://gu.qq.com/sz159740,ok,0.61 (tencent-api:sz159740)
2026-05-18,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.935,44506.0,4498.0,0.1124,https://gu.qq.com/sz159131,ok,0.935 (tencent-api:sz159131)
2026-05-18,A500ETF易方达,159361,10000.0,12060.0,1.313,13130.0,1070.0,0.0887,https://gu.qq.com/sz159361,ok,1.313 (tencent-api:sz159361)
2026-05-18,汇添富中证主要消费ETF,159928,53000.0,39173.0,0.7,37100.0,-2073.0,-0.0529,https://gu.qq.com/sz159928,ok,0.7 (tencent-api:sz159928)
2026-05-18,黄金ETF,518880,2000.0,19455.0,9.513,19026.0,-429.0,-0.0221,https://gu.qq.com/sh518880,ok,9.513 (tencent-api:sh518880)
2026-05-18,信澳新能源产业股票,001410,13959.13,45888.0,7.014,97909.33782,52021.33782,1.1337,https://gu.qq.com/jj001410,ok,7.014 (tencent-api:jj001410)
2026-05-18,兴全合宜混合,163417,30676.56,40400.0,2.216,67979.25696,27579.25696,0.6827,https://gu.qq.com/sz163417,ok,2.216 (tencent-api:jj163417)
2026-05-18,易方达亚洲精选股票,118001,29124.5,33380.0,1.684,49045.658,15665.658,0.4693,https://gu.qq.com/jj118001,ok,1.684 (tencent-api:jj118001)
2026-05-18,工银前沿医疗股票,001717,20298.5,61634.0,2.872,58297.292,-3336.708,-0.0541,https://gu.qq.com/jj001717,ok,2.872 (tencent-api:jj001717)
2026-05-18,易方达蓝筹精选混合,005827,29782.0,54385.0,1.6411,48875.2402,-5509.7598,-0.1013,https://gu.qq.com/jj005827,ok,1.6411 (tencent-api:jj005827)
2026-05-18,cash_total,CASH,1,20781.0,1,20781.0,0,0,,ok,cash_accounts=2
2026-05-18,__TOTAL__,,,440000.0,,535411.78498,95411.78498,0.2168,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=20781.0; cost_total=440000.0; daily_net_flow=0.0; cashflow_count=3; success=11; error=0
