日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,产品类型编码,产品类型,大类资产编码,大类资产,行业编码,行业,抓取状态,抓取备注
2026-04-23,药明康德,603259,300.0,29972.0,100.19,30057.0,85.0,0.0028,https://gu.qq.com/sh603259/gp,1,股票,1,A股,2,医药,ok,100.19 (tencent-api:sh603259)
2026-04-23,恒生科技ETF大成,159740,62200.0,40265.0,0.617,38377.4,-1887.6,-0.0469,https://gu.qq.com/sz159740,2,场内ETF,2,港股,3,科技,ok,0.617 (tencent-api:sz159740)
2026-04-23,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.871,41459.6,1451.6,0.0363,https://gu.qq.com/sz159131,2,场内ETF,2,港股,3,科技,ok,0.871 (tencent-api:sz159131)
2026-04-23,A500ETF易方达,159361,10000.0,12060.0,1.29,12900.0,840.0,0.0697,https://gu.qq.com/sz159361,2,场内ETF,1,A股,1,宽基指数,ok,1.29 (tencent-api:sz159361)
2026-04-23,汇添富中证主要消费ETF,159928,40000.0,29880.0,0.737,29480.0,-400.0,-0.0134,https://gu.qq.com/sz159928,2,场内ETF,1,A股,4,消费,ok,0.737 (tencent-api:sz159928)
2026-04-23,信澳新能源产业股票,001410,13959.13,45888.0,5.957,83154.53741,37266.53741,0.8121,https://gu.qq.com/jj001410,3,主动基金,1,A股,3,科技,ok,5.957 (tencent-api:jj001410)
2026-04-23,兴全合宜混合,163417,30676.56,40400.0,2.0868,64015.845408,23615.845408,0.5846,https://gu.qq.com/jj163417,3,主动基金,2,港股,3,科技,ok,2.0868 (tencent-api:jj163417)
2026-04-23,易方达亚洲精选股票,118001,21947.58,21000.0,1.602,35160.02316,14160.02316,0.6743,https://gu.qq.com/jj118001,3,主动基金,2,港股,3,科技,ok,1.602 (tencent-api:jj118001)
2026-04-23,工银前沿医疗股票,001717,17089.31,51634.0,3.097,52925.59307,1291.59307,0.025,https://gu.qq.com/jj001717,3,主动基金,1,A股,2,医药,ok,3.097 (tencent-api:jj001717)
2026-04-23,易方达蓝筹精选混合,005827,23991.59,44400.0,1.7575,42165.219425,-2234.780575,-0.0503,https://gu.qq.com/jj005827,3,主动基金,2,港股,4,消费,ok,1.7575 (tencent-api:jj005827)
2026-04-23,东方财富,300059,1000.0,20010.0,19.89,19890.0,-120.0,-0.006,https://gu.qq.com/sz300059/gp,1,股票,1,A股,,,ok,19.89 (tencent-api:sz300059)
2026-04-23,黄金ETF,518880,1000.0,10005.0,9.9,9900.0,-105.0,-0.0105,https://gu.qq.com/sh518880,2,场内ETF,6,黄金,,,ok,9.9 (tencent-api:sh518880)
2026-04-23,cash_total,CASH,1,52086.27,1,52086.27,0,0,,,现金,9,现金,,,ok,cash_accounts=2
2026-04-23,__TOTAL__,,,430000.0,,511571.488473,81571.488473,0.1897,,,,,,,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=52086.27; cost_total=430000.0; daily_net_flow=0.0; cashflow_count=2; success=12; error=0
