日期,标的名称,标的代码,持有份额,持仓成本,现价,市值,盈亏,收益率,现价查询链接,抓取状态,抓取备注
2026-04-30,药明康德,603259,300.0,29972.0,109.55,32865.0,2893.0,0.0965,https://gu.qq.com/sh603259/gp,ok,109.55 (tencent-api:sh603259)
2026-04-30,恒生科技ETF大成,159740,62200.0,40265.0,0.619,38501.8,-1763.2,-0.0438,https://gu.qq.com/sz159740,ok,0.619 (tencent-api:sz159740)
2026-04-30,港股通信息技术ETF华宝,159131,47600.0,40008.0,0.896,42649.6,2641.6,0.066,https://gu.qq.com/sz159131,ok,0.896 (tencent-api:sz159131)
2026-04-30,A500ETF易方达,159361,10000.0,12060.0,1.299,12990.0,930.0,0.0771,https://gu.qq.com/sz159361,ok,1.299 (tencent-api:sz159361)
2026-04-30,汇添富中证主要消费ETF,159928,40000.0,29880.0,0.747,29880.0,0.0,0.0,https://gu.qq.com/sz159928,ok,0.747 (tencent-api:sz159928)
2026-04-30,东方财富,300059,1000.0,20010.0,20.36,20360.0,350.0,0.0175,https://gu.qq.com/sz300059/gp,ok,20.36 (tencent-api:sz300059)
2026-04-30,黄金ETF,518880,1000.0,10005.0,9.678,9678.0,-327.0,-0.0327,https://gu.qq.com/sh518880,ok,9.678 (tencent-api:sh518880)
2026-04-30,信澳新能源产业股票,001410,13959.13,45888.0,6.312,88110.02856,42222.02856,0.9201,https://gu.qq.com/jj001410,ok,6.312 (tencent-api:jj001410)
2026-04-30,兴全合宜混合,163417,30676.56,40400.0,2.1628,66347.263968,25947.263968,0.6423,https://gu.qq.com/sz163417,ok,2.1628 (tencent-api:jj163417)
2026-04-30,易方达亚洲精选股票,118001,21947.58,21000.0,1.614,35423.39412,14423.39412,0.6868,https://gu.qq.com/jj118001,ok,1.614 (tencent-api:jj118001)
2026-04-30,工银前沿医疗股票,001717,17089.31,51634.0,3.104,53045.21824,1411.21824,0.0273,https://gu.qq.com/jj001717,ok,3.104 (tencent-api:jj001717)
2026-04-30,易方达蓝筹精选混合,005827,23991.59,44400.0,1.7393,41728.572487,-2671.427513,-0.0602,https://gu.qq.com/jj005827,ok,1.7393 (tencent-api:jj005827)
2026-04-30,cash_total,CASH,1,52205.0,1,52205.0,0,0,,ok,cash_accounts=2
2026-04-30,__TOTAL__,,,430000.0,,523783.877375,93783.877375,0.2181,,summary,holdings_encoding=utf-8-sig; cash_encoding=utf-8-sig; cashflows_encoding=utf-8-sig; cash_total=52205.0; cost_total=430000.0; daily_net_flow=0.0; cashflow_count=2; success=12; error=0
