日期,总市值,A股市值,A股配置比例,港股市值,港股配置比例,美股市值,美股配置比例,国债市值,国债配置比例,美债市值,美债配置比例,黄金市值,黄金配置比例,原油市值,原油配置比例,商品市值,商品配置比例,现金市值,现金配置比例
2026-04-14,498861.4,229595.9,0.4602,217168.2,0.4353,0.0,0.0,0.0,0.0,0.0,0.0,10011.0,0.0201,0.0,0.0,0.0,0.0,42086.3,0.0844
2026-04-15,511123.5,230332.8,0.4506,218640.5,0.4278,0.0,0.0,0.0,0.0,0.0,0.0,10064.0,0.0197,0.0,0.0,0.0,0.0,52086.3,0.1019
2026-04-16,516510.7,231149.4,0.4475,223178.1,0.4321,0.0,0.0,0.0,0.0,0.0,0.0,10097.0,0.0195,0.0,0.0,0.0,0.0,52086.3,0.1008
2026-04-17,513296.3,228548.8,0.4453,222632.2,0.4337,0.0,0.0,0.0,0.0,0.0,0.0,10029.0,0.0195,0.0,0.0,0.0,0.0,52086.3,0.1015
